,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Dat e  R ec 'd,,C om pany,,C i t y   ( C ount y ),,#   A ffec t ed,,L ay off  Dat e( s ),,P hone  N um ber,,Uni on,,WA R N   I D,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,1 2 / 2 6 / 1 3,,"At o s  IT   So lut io ns  and 
,2 / 2 7 / 1 2,,"M e rc y   St .  Jo hn's 
Ce nt e r",,"Springfie ld
( Clark )",,1 2 5,,6 / 1 / 2 0 1 2,,( 9 3 7 )   3 4 2 -5 9 4 0,,N/ A,,0 0 7 -1 1 -0 4 0,
,2 / 2 7 / 1 2,,Y RC  W o rldw ide   Inc .,,Ric hfie ld  ( Sum m it ),,5,,4 / 2 4 / 2 0 1 2,,( 9 1 3 )   3 4 4 -3 9 9 2,,N/ A,,0 0 2 -1 1 -0 3 9,
,2 / 2 3 / 1 2,,"Varic o n,  L L C",,"Be dfo rd  He ight s 
( Cuy aho ga)",,7,,4 / 1 5 / 2 0 1 2,,( 8 6 4 )   6 7 2 -4 8 6 5,,N/ A,,0 0 3 -1 1 -0 3 8,
,2 / 2 1 / 1 2,,K o dak,,"D ay t o n 
( M o nt go m e ry )",,6 8,,4 / 1 9 / 2 0 1 2,,( 9 3 7 )   2 5 9 -3 7 5 3,,N/ A,,0 0 7 -1 1 -0 3 7,
,2 / 2 1 / 1 2,,Y RC  Fre ight,,"Co lum bus 
( Frank lin)",,1 2 1,,"0 4 / 0 8 / 2 0 1 2  
t hro ugh 
0 4 / 2 2 / 2 0 1 2",,( 9 1 3 )   3 4 4 -3 9 5 2,,IBT,,0 1 1 -1 1 -0 3 6,
,2 / 9 / 1 2,,Ro c k -T e nn  Co m pany,,"W ashingt o n  Co urt  
Ho use
( Fay e t t e )",,7 9,,"Be ginning 
0 4 / 0 7 / 2 0 1 2",,( 2 1 5 )   7 8 7 -  8 9 6 4,,"Unit e d  St e e l  W o rk e rs 
L o c al  # 1 0 7 0",,0 0 7 -1 1 -0 3 5,
,2 / 7 / 1 2,,"Chiquit a  Brands 
Int e rnat io nal,  Inc .",,"Cinc innat i 
( Ham ilt o n)",,2 0 0,,"Be ginning 
0 4 / 0 6 / 2 0 1 2",,( 5 1 3 )   7 8 4 -8 9 8 2,,N/ A,,0 1 3 -1 1 -0 3 4,
,2 / 2 / 1 2,,"Sc hne ide r  L o gist ic s 
Inc .  ( SL I)",,"W e st   Che st e r 
( But le r)",,1 0,,3 / 3 1 / 2 0 1 2,,( 7 3 4 )   2 1 6 -8 9 9 6,,N/ A,,0 1 2 -1 1 -0 3 2,
,2 / 2 / 1 2,,"L iz  Claibo rne  
D ist ribut io n  Ce nt e r",,"W e st   Che st e r 
( But le r)",,3 6 5,,"0 1 / 2 7 / 2 0 1 2  
t hro ugh 
0 9 / 0 1 / 2 0 1 2",,( 2 0 1 )   2 9 5 -7 1 6 4,,"CM RJB,  W o rk e rs  Unit e d",,0 1 2 -1 1 -0 3 1,
,1 / 3 0 / 1 2,,K m art   St o re   # 9 6 6 0,,Springfie ld  ( Clark ),,5 2,,4 / 1 / 2 0 1 2,,( 8 4 7 )   2 8 6 -1 4 2 7,,N/ A,,0 0 7 -1 1 -0 3 0,
